Requirement_1,Requirement_2,Conflict_Type,Mathematical_Expression
The engine design should prioritize performance over emission constraints.,The vehicle should support fast charging to reach 80% in 30 minutes.,Regulatory Conflict,Constraint(The engine design sh → The vehicle should s)
The battery should use standard charging methods to maintain longevity.,Durability must be ensured for at least 10 years of use.,Contradiction,Constraint(The battery should u → Durability must be e)
The bike should have a storage compartment for a full-size helmet.,The vehicle should incorporate modular components for easy customization.,Cost Conflict,Constraint(The bike should have → The vehicle should i)
The vehicle must include a high-capacity battery for extended electric range.,"The vehicle should be affordable with a base price under $1,500.",Material Conflict,Constraint(The vehicle must inc → The vehicle should b)
Production costs should remain below market average for affordability.,The vehicle must meet Euro 6 emission standards.,Compliance Conflict,Constraint(Production costs sho → The vehicle must mee)
The system should minimize power consumption for extended battery life.,The onboard computer should be minimal to reduce electronic dependencies.,Sustainability Conflict,Constraint(The system should mi → The onboard computer)
The vehicle should include tubeless tires for durability and safety.,The vehicle should be cost-effective and use affordable materials.,Contradiction,Constraint(The vehicle should i → The vehicle should b)
The braking system should use ABS for enhanced safety.,The two-wheeler must have a rearview camera for safety.,Resource Conflict,Constraint(The braking system s → The two-wheeler must)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Users should be able to turn off the headlight manually.,Compliance Conflict,Constraint(The vehicle should s → Users should be able)
The two-wheeler should have a maximum curb weight of 120 kg.,The engine should have a minimum power output of 25 HP.,No Conflict,Constraint(The two-wheeler shou → The engine should ha)
The engine design should prioritize performance over emission constraints.,The vehicle should be fully electric.,Cost Conflict,Constraint(The engine design sh → The vehicle should b)
The bike should support over-the-air (OTA) software updates.,The vehicle should support fast charging to reach 80% in 30 minutes.,Material Conflict,Constraint(The bike should supp → The vehicle should s)
The frame should be made of lightweight aluminum for efficiency.,The bike should support over-the-air (OTA) software updates.,Contradiction,Constraint(The frame should be  → The bike should supp)
The vehicle should have a minimalistic dashboard design.,The two-wheeler must have a rearview camera for safety.,Resource Conflict,Constraint(The vehicle should h → The two-wheeler must)
The frame should be made of lightweight aluminum for efficiency.,The bike should have a storage compartment for a full-size helmet.,Resource Conflict,Constraint(The frame should be  → The bike should have)
The bike should be resistant to extreme weather conditions.,Durability must be ensured for at least 10 years of use.,Compliance Conflict,Constraint(The bike should be r → Durability must be e)
The engine design should prioritize performance over emission constraints.,The bike should have a storage compartment for a full-size helmet.,Regulatory Conflict,Constraint(The engine design sh → The bike should have)
The engine must comply with strict noise restrictions.,"The vehicle should be affordable with a base price under $1,500.",Contradiction,Constraint(The engine must comp → The vehicle should b)
The vehicle must include a high-capacity battery for extended electric range.,The battery should use standard charging methods to maintain longevity.,Sustainability Conflict,Constraint(The vehicle must inc → The battery should u)
The engine design should prioritize performance over emission constraints.,Durability must be ensured for at least 10 years of use.,Contradiction,Constraint(The engine design sh → Durability must be e)
The wheels should be spoked to maintain classic aesthetics.,The vehicle should incorporate modular components for easy customization.,Material Conflict,Constraint(The wheels should be → The vehicle should i)
The bike should support over-the-air (OTA) software updates.,The vehicle should incorporate modular components for easy customization.,Design Conflict,Constraint(The bike should supp → The vehicle should i)
The vehicle must meet Euro 6 emission standards.,The bike must have a top speed of 120 km/h.,Sustainability Conflict,Constraint(The vehicle must mee → The bike must have a)
The instrument cluster should use analog dials to reduce complexity.,The engine should have a minimum power output of 25 HP.,Material Conflict,Constraint(The instrument clust → The engine should ha)
